category,description,title,brand,rank,price,productID
"['Books', 'New, Used & Rental Textbooks', 'Business & Finance']",['Simple Truths of Service: Inspired by Jonny the Bagger. ASIN: 0000230022.'],The Simple Truths of Service: Inspired by Johnny the Bagger,Visit Amazon's Ken Blanchard Page,"2,566,783 in Books (",,0000230022
"['Books', 'Literature & Fiction', 'Dramas & Plays']","['William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.']","Love's Labour's Lost: Performed by Derek Jacobi, Geraldine McEwan &amp; Cast",Visit Amazon's William Shakespeare Page,"11,922,808 in Books (",$20.93,0001050230
"['Books', 'Literature & Fiction', 'Contemporary']",[],Microserfs,Visit Amazon's Douglas Coupland Page,"13,244,841 in Books (",,0001052292
"['Books', 'Literature & Fiction', 'Short Stories & Anthologies']",[],The Case Book of Sherlock Holmes,"Arthur Conan, Sir Doyle","10,925,240 in Books (",,0001054783
"['Books', 'Literature & Fiction', 'Contemporary']","['Jo Clifford, a successful journalist, is all set to debunk hypnosis and nonsense of past-life regression in her next magazine series, until she submits to a simple hypnotic session and finds herself reliving the experiences of Matilda, Lady of Hay, the wife of a baron at the time of King John.']",Lady of Hay,Visit Amazon's Barbara Erskine Page,"14,105,839 in Books (",,000105001X
"['Books', 'Literature & Fiction', 'Classics']","[""Grade 6 Up-Kidnapped by Robert Louis Stevenson remains one of the classic coming-of-age stories for children and young adults today. After the death of his father, David Balfour sets out to meet his uncle and claim his inheritance. This adventure takes him through the highlands of Scotland where he embarks upon a long journey back from treachery and deceit. The reading by David Rintoul, whose voice is easily recognizable from his roles in several PBS productions such as Pride and Prejudice, translates the written word into an auditory landscape of Scotland. He interprets each character using several voices. As the story progresses, listeners can hear David changing from an uncertain and hesitant youth, to the assured and forthright young man he becomes at the conclusion. Without any special effects, the fight among the crew of the Coventry in the RoundhouseAchairs pushed over, the sounds of the sea hitting against the great shipAbecomes easily visualized. the reader's skill setting the stage and showing the growth of the character is phenomenal. While this is an abridgement, the story flows easily and gives a full picture from beginning to end. This audiobook is a wonderful way to introduce this style of literature to young readers who may feel inhibited by reading the language of Stevenson. Whether read for enjoyment or to enrich the learning experience, this is a must for every serious library collection of the classics.<BR><I>Tina Hudak, Takoma Park Maryland Library, MD </I><BR>Copyright 2000 Reed Business Information, Inc."", ""From beginning to end, reader David Rintoul, who portrays David Balfor, carries the listener along with his lyrical Scottish accent and suspenseful schemes involving Uncle Ebenezer. The listener submerges himself in the intense plot as Balfor attempts to reclaim his stolen inheritance from his uncle. Rintoul's accent accommodates both Highlanders and Lowlanders, bringing each to life as the author intended. Well-balanced dialogue and narration, along with intelligible accents, lend authenticity to this story. A refreshing listen for any who like to revisit the classics or who have difficulty with the original language. G.D.W. &copy; AudioFile 2001, Portland, Maine-- <i>Copyright &#169; AudioFile, Portland, Maine</i>""]",Kidnapped (HarperCollinsAudioBooks),Visit Amazon's Robert Louis Stevenson Page,"13,878,095 in Books (",,0001047868
"['Books', 'Literature & Fiction', 'Poetry']","['Kahlil Gibran was among the most important Arabic language authors of the early twentieth century. Born in 1883 in Lebanon, he spent the last twenty years of his life (to 1931) in the United States. He is the author of numerous volumes, the most famous of which is THE PROHPET, translated into over twenty languages.']",The Prophet,Visit Amazon's Kahlil Gibran Page,"1,810,945 in Books (",,000100039X
"['Books', 'New, Used & Rental Textbooks', 'Humanities']","['William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.']",Othello: Complete &amp; Unabridged,Visit Amazon's William Shakespeare Page,"18,682,789 in Books (",,0001048767
"['Books', 'Literature & Fiction', 'Poetry']","['Grade 7 Up-Scottish actor John Cairney gives voice to 20 of the poet\'s works, some standards and others slightly more obscure. Cairney portrayed Burns in a solo stage show from 1965 to 1981. He not only performs on this cassette, but also selected and arranged the poems and musical elements. Lilting tunes often introduce a piece, and the familiar melody of ""Auld Lang Syne"" plays throughout that reading. ""Tam o\'Shanter,"" ""To a Mouse,"" ""To a Louse,"" and ""A Red, Red Rose"" are here, as well as the less well known ""Mary Morison,"" ""Of a\' the Airts,"" and ""The Banks of Doon."" Language arts instructors who teach Burns and want to convey a sense of what he intended will especially appreciate this collection and Cairney\'s performance. The dramatic and occasional special effects will help to capture students\' imaginations. The romantic pieces provide a leisurely pace for neophytes to familiarize themselves with the accent.<BR><I>Diana Dickerson, White Pigeon Community Schools, MI </I><BR>Copyright 2000 Reed Business Information, Inc.', 'Despite the package\'s claims that this is the perfect introduction to Burns\'s work, listeners might well find themselves playing the tape twice, once for the music, the second time to try to pick out the words. Ideally, they would hear the tape while looking at the poems on the page, but the producer did not choose to include the text. Actor John Cairney, who has been performing Burns\'s poems since 1959, does a more than credible reading, but unfortunately being enthusiastic about the recording and true to the 18th-century Scottish dialect does little to enhance the American listener\'s appreciation. The 20 poems presented here include longer works, such as ""The Cotter\'s Saturday Night"" and ""Tam O\'Shanter,"" along with ""Holy Willie\'s Prayer,"" ""Epistle to a Young Friend,"" ""A Red, Red Rose,"" and ""Auld Lang Syne."" With longer poems, it\'s difficult to tell when the selection ends, while shorter poems run into one another. This is currently the only tape of Burns\'s work available, so interested fans will have to make do. Rochelle Ratner, formerly with ""Soho Weekly News,"" NY <BR>Copyright 2001 Reed Business Information, Inc.']",The Poems &amp; Songs of Robert Burns (HarperCollinsAudioBooks),Visit Amazon's Robert Burns Page,"11,959,926 in Books (",,0001049143
"['Books', 'Literature & Fiction', 'Contemporary']",[],Hand in Glove,Visit Amazon's Robert Goddard Page,"16,076,344 in Books (",,0001047566
"['Books', ""Children's Books"", 'Animals']","[""HE BEAR SHE BEAR, what's the difference? Not much say the Berenstains, as they present young bears and children with a marvellous variety of role models for all 'whether we are he or she'. Bright and Early books help even the youngest child get ready to read. Simple stories and basic concepts are humorously presented in rhythm and rhyme. Pictures that fully explain the text help even babies make the important connection between word and meaning. It's never too early to find out that 'Learning to read is fun'.""]","He Bear, She Bear (Beginner Books)",Visit Amazon's Stan Berenstain Page,"1,910,783 in Books (",$5.78,0001712691
"['Books', ""Children's Books"", 'Literature & Fiction']","[""In the B Book, the youngest child will be entertained by a hilarious build-up of words beginning with the letter B. It's an ideal introduction to the realisation that letters represent sounds, and end with a bang! Ages 3+""]",The Berenstains' B Book (Bright &amp; Early Books),Visit Amazon's Stan Berenstain Page,"723,660 in Books (",$7.78,000171287X
