ratingScore,reviewerID,productID
2.0,AOGE8PM6KED3O,0007133766
4.0,A21NVBFIEQWDSG,0007140975
5.0,A30KEXFT9SILL6,0001047868
3.0,A1DW4U1LQV0XW7,0006755224
3.0,A2RA98L9KYYWXS,0006159990
4.0,A2HFL26OQJ2T9X,0006513905
4.0,A1JH5J1KQAUBMP,0007115288
3.0,ACIBQ6BQ6AWEV,0002310899
3.0,AUM3YMZ0YRJE0,0001048767
5.0,A2NJO6YE954DBH,0001713167
5.0,A1G37DFO8MQW0M,0006166512
5.0,A2NHD7LUXVGTD3,000649918X
3.0,A3LZGLA88K0LA0,0001047566
5.0,A1G37DFO8MQW0M,0007219822
5.0,A1G9FX1KV45N41,0001716069
3.0,A1MFPR1ILOQPJY,0006478964
4.0,AC1K4OQOZ90RS,0006392954
4.0,A26LZM6739834C,0007157177
4.0,AVBK68931HD11,0006393195
5.0,A2LGBXTYHWEP1I,0002256649
4.0,A3R1E4K7B6RUHP,000711933X
4.0,A3RBGEV4IHL1XM,0002315963
5.0,A2JVCPTNG2L7PY,0007169930
5.0,A1SBFI91YMPS9I,0007120761
5.0,A4SD8F79JBYG2,0002247275
5.0,A126KX6FVI4T66,0001720295
4.0,A29NUB3P6YIWZG,0006482449
5.0,A33L7G4E8CID3,0006532462
5.0,A386UNUYDUDSBB,0007195303
5.0,A3LZGLA88K0LA0,0007203136
4.0,A1N1YEMTI9DJ86,0002318652
5.0,A13G1TKIKHGV3F,0001050230
4.0,A2UIXU97JYCPZG,0006511295
5.0,A1K1JW1C5CUSUZ,0007173113
5.0,A2PWUIQG57O1AZ,0006482511
3.0,A2QZVW56O4WSBT,0007174640
4.0,A1D2C0WDCSHUWZ,0006142117
4.0,A3LZGLA88K0LA0,0007203128
5.0,A1BA72K4VK1UN1,000711835X
4.0,A1M4NJYP0WNL8Q,000715481X
5.0,A3QZCA4LTTVGAD,0002051850
5.0,A3A6GXILVT9JNW,0007211252
3.0,A3PA2209QS734T,0007115237
5.0,A2FEGRJQNU51P9,000719093X
3.0,A4FX5YCJA630V,0006755208
5.0,A2JVCPTNG2L7PY,0001950061
4.0,A3C0380R9NMLHD,0002255103
5.0,AHCVWPLA1O4X8,000711835X
5.0,A345U10UP0S8LR,0002219417
5.0,A1BI8PUEHA5CHW,0007171226
5.0,A3A6GXILVT9JNW,0002310015
4.0,A244OF3K701OS1,0002310988
4.0,A1X4JO8EJ1U5BR,0007157177
5.0,A38AAPXSJN4C5G,0002051850
5.0,AK7D1BHZOSOL1,0002241471
4.0,A3R8PXSFGY9MC2,000215725X
5.0,A146H6A41B26QT,0006547753
4.0,A2GPEV42IO41CI,0007172826
4.0,A2DSXA1E02C86D,0007196962
5.0,A260X99UW6HA9Z,0006166032
5.0,A1S1JC7LTBZAH2,0006159990
4.0,A2UIXU97JYCPZG,0002006995
5.0,A3BH49ZKESHDID,0007119313
4.0,A4FX5YCJA630V,0007121083
5.0,A1T17LMQABMBN5,0006512062
5.0,A1I2O9Y3X3HXLS,0007145594
4.0,A4FX5YCJA630V,0007120869
5.0,A38AAPXSJN4C5G,0007155662
4.0,A3V2W0GE6XQUPF,0007154828
3.0,A17FLA8HQOFVIG,0007141076
5.0,A1FSJH67CYP9Y2,0006482511
5.0,A1D2C0WDCSHUWZ,0003302245
3.0,AK7D1BHZOSOL1,0007210965
5.0,A3PA2209QS734T,0002552868
4.0,A2AYSFGUP5VTY3,0002558068
5.0,A1D2C0WDCSHUWZ,0006755208
5.0,A2SZAEY94NY1UX,000612609X
4.0,A1M36RIBC6IT7F,0006511716
4.0,A2PNTEDGMOLMOY,0002259664
5.0,A20EEWWSFMZ1PN,0006545793
4.0,A2K9FXOFFHVNWG,0006511074
3.0,A1K1JW1C5CUSUZ,0007170785
5.0,A2C05OHYJERICI,0007120796
4.0,A331OF34UX4Y1K,0006137989
5.0,A1G37DFO8MQW0M,0002720884
3.0,A1FSJH67CYP9Y2,0006172768
5.0,A3R1E4K7B6RUHP,0006140823
5.0,A1K1JW1C5CUSUZ,0002180618
5.0,A4SKIA2A7IDRX,0007173113
4.0,A39S0MP5L7898V,0001950061
5.0,A2I6MHMAZZDCRX,000171211X
5.0,A55ER33W947XU,0007141424
5.0,A1DYMH30TSRONY,0007181604
5.0,A3PGGI7A6XCNF1,000226157X
4.0,A2MF2QVSCUI27G,0007190301
5.0,A2I6MHMAZZDCRX,0007127049
4.0,AX54G5AL870Q8,0006513220
5.0,A1GQAKL9CGQLP1,0007119313
3.0,A2V6FC7GVZ6T7M,0006473369
4.0,A8O13GJJDU01Z,0007119593
5.0,A1M4NJYP0WNL8Q,0007203128
5.0,A2I2IVPGTOT3AE,0007120877
4.0,AFYYHRPSFBLWS,000711835X
4.0,A2F540P3L6P5CL,0007118899
5.0,A1BA72K4VK1UN1,0006498736
5.0,A1DW4U1LQV0XW7,000711835X
5.0,A286R43QW30HAZ,0002255863
4.0,A1M36RIBC6IT7F,0006482074
4.0,AHD101501WCN1,0002117908
4.0,A3VO34TDJXJGNK,0006490344
5.0,A3AKWA5CWSKOOH,000715707X
4.0,A1K1JW1C5CUSUZ,0007181604
5.0,A2AIE9DO5QSVBD,0007127898
5.0,AK7CAW3N1XZV6,000711835X
5.0,A33EVEMS61JYRQ,000719093X
3.0,A1DW700HEBQC4P,0006168124
5.0,AFMF4F9QW2JDS,0006486029
5.0,ADY0QI5IENSLY,0007145632
4.0,A341BG8RMH8QW,0007173156
2.0,A2RPIGO3G4M6GN,0006174426
2.0,A1ESZNL5LPAJMG,0006483011
5.0,A1T17LMQABMBN5,0007165005
5.0,AIQEHMC9TKGK5,0006479227
4.0,AFYYHRPSFBLWS,0007145594
3.0,A2IIB10X0CECYV,0007139667
5.0,AZM9G2E1UMKRZ,0006159990
5.0,A2FQWV725FGE8S,0002257556
3.0,AC1K4OQOZ90RS,000714282X
2.0,A1C8P8OTHF77PF,0006211712
5.0,AUUFW7PTUHLT,0001720295
3.0,AN70SZO2SOKFB,0007117213
4.0,A34UTL4AVX80MK,0006498515
5.0,A1G9FX1KV45N41,0002171473
3.0,A38Z66H58RIJ64,0007179448
5.0,A2O5RT4RCC4NU2,0007141424
3.0,A2RA98L9KYYWXS,0007120818
3.0,A1X8VZWTOG8IS6,0006483895
4.0,A4FX5YCJA630V,0002318652
4.0,A2MF2QVSCUI27G,0006514642
5.0,A39529JJJEEDP5,0007141343
4.0,A39529JJJEEDP5,0007154828
5.0,A260X99UW6HA9Z,000649921X
5.0,AHD101501WCN1,0001384198
5.0,AOGE8PM6KED3O,0006499236
5.0,A3RK5D0VVDGCPP,0002259524
4.0,A2PWUIQG57O1AZ,0006481752
5.0,A1DYMH30TSRONY,0002173611
3.0,ABMX8XUNPR3LP,0004244079
5.0,A1TWH3KD5YJQHM,0006472303
4.0,A30TK6U7DNS82R,0007119305
4.0,A2O5RT4RCC4NU2,0007157177
4.0,A30KEXFT9SILL6,000274080X
3.0,AOTMP0OKJOUWI,0007173156
4.0,A3QVAKVRAH657N,0006490344
5.0,A1SBFI91YMPS9I,0007120818
3.0,A3IKBHODOTYYHM,0006479227
5.0,A12GX28UTS8AZI,0002317850
5.0,A1IOJE0W1NXOSE,0006148697
3.0,ACRDUJAN6XYVK,0006151353
5.0,A2WZON0QPX7C9X,0001857290
4.0,A6HXFDIC7DVTC,0007158505
5.0,A2GPEV42IO41CI,0002227282
2.0,AUTBHG6070SL4,0006482821
3.0,A2O5RT4RCC4NU2,0007157169
4.0,A1NC9AGZOBI0M1,0007111509
4.0,A1SCJWCMQ3W3KK,0002226723
4.0,A21NVBFIEQWDSG,0007149832
5.0,A2TUA4VWCMNXI,000711835X
4.0,A4SD8F79JBYG2,000648011X
2.0,A3LWS1L674IYH7,0002247437
5.0,A1BA72K4VK1UN1,0002554771
5.0,AXYFNRDTY33TU,0002247399
4.0,A2O9HU1K7TCF7B,0006551521
3.0,A1M36RIBC6IT7F,0006393209
4.0,A2RPIGO3G4M6GN,0002252317
4.0,A3RBGEV4IHL1XM,0002318075
5.0,A3A6GXILVT9JNW,0007172826
5.0,ANEDXRFDZDL18,0006166032
4.0,A30KEXFT9SILL6,0007120877
