ratingScore,reviewerID,productID
5.0,A3VO34TDJXJGNK,000613887X
4.0,A8O13GJJDU01Z,0006158048
4.0,AGBT2QIDI5YP,000648011X
3.0,A3PA2209QS734T,000231309X
5.0,A2XTCY5SSI6LQN,0007113803
5.0,A3KRBW13FWBUH,0006512577
4.0,A2YTHMJJJQCOZ,0007210965
4.0,AOTMP0OKJOUWI,0006480101
5.0,AMKZHBOK7VMQR,0002117088
4.0,A2TXR85WQLE32N,0006161413
5.0,A2I6MHMAZZDCRX,000171211X
3.0,A1DYMH30TSRONY,0007174268
5.0,A55ER33W947XU,0001050230
4.0,A3RBGEV4IHL1XM,0002315963
5.0,A1BA72K4VK1UN1,0007120761
4.0,A3T4KN9XO3PIXG,0007141076
4.0,AFMF4F9QW2JDS,0002247437
5.0,A1G9FX1KV45N41,000654861X
4.0,A26BWRBPP4V2WF,000614182X
3.0,A3NBL1TI2M3CW1,0002247437
3.0,A2Z4KA3EFQWZOX,0007118317
5.0,A3QIP6LXWPIPMP,0002310988
3.0,A1RAUVCWYHTQI4,0002259664
4.0,ACRDUJAN6XYVK,0007136900
5.0,A1G37DFO8MQW0M,0007120680
5.0,A8XWYGM1VCAV9,0007161077
3.0,A3R1E4K7B6RUHP,0007120974
4.0,A2FEGRJQNU51P9,0006913636
5.0,A26TU4ONC9KQRR,0007158459
5.0,A3BH49ZKESHDID,0007119313
4.0,A1835Y2087GJU8,0007120761
5.0,A2CR57GAJKNWVV,0007122187
4.0,A4FX5YCJA630V,0006755194
5.0,A3647FSN6JOR06,0002310988
4.0,A38I19743GC8P4,0002318652
5.0,A13G1TKIKHGV3F,0007181701
5.0,A4FX5YCJA630V,0007149123
4.0,A26LZM6739834C,0007157169
5.0,A2I2IVPGTOT3AE,0007141343
2.0,A1X8VZWTOG8IS6,0007105045
5.0,A2F6N60Z96CAJI,0007161913
4.0,AU6DIIDZK2OQM,0007150296
5.0,A1CPSCL93S0VS8,0002311216
4.0,A2F540P3L6P5CL,0002226723
5.0,A1K1JW1C5CUSUZ,0006479561
5.0,AX54G5AL870Q8,0002259753
2.0,A3DQWFWINN3V5A,0006511848
5.0,A1IOJE0W1NXOSE,0002259842
2.0,A3DXVYD2TQHWGD,0007120761
3.0,A1K1JW1C5CUSUZ,0006392237
5.0,A2V6FC7GVZ6T7M,0007182813
3.0,A2EDZH51XHFA9B,0007174640
4.0,A2EDZH51XHFA9B,0007113080
5.0,A680RUE1FDO8B,0007181604
4.0,A1D2C0WDCSHUWZ,0001846590
5.0,A13H2JJ3GEMJN1,0002247437
5.0,A3E8QNDC7CV44,0007157169
4.0,A1SCJWCMQ3W3KK,0007119283
5.0,A2VE83MZF98ITY,0007158459
5.0,A2SZAEY94NY1UX,0002216973
4.0,A1BI8PUEHA5CHW,0007178484
5.0,A2DA6HOBLBUQL6,0007111932
4.0,APRY1W9VFEFQ6,0006483852
5.0,A3QS5UYAGHF4IU,0007193181
3.0,AS6SH2JM2YY3H,0007148895
5.0,A680RUE1FDO8B,0007180616
5.0,A29CT3MXKBWVQ6,0006499228
4.0,A3A6GXILVT9JNW,0006166512
4.0,A39S0MP5L7898V,0001720392
3.0,ACRDUJAN6XYVK,0006172776
4.0,A1JV4QKTEB7QBL,0002259842
4.0,AUGABW5AS2OXM,0006498450
5.0,A3QS5UYAGHF4IU,0007118317
5.0,A34UTL4AVX80MK,0007105673
4.0,A2AIE9DO5QSVBD,0007178638
5.0,A1M8PP7MLHNBQB,000711835X
5.0,A1TWH3KD5YJQHM,0007181604
5.0,A2HFL26OQJ2T9X,0006545793
3.0,A2MF2QVSCUI27G,0007166311
2.0,A3K1RVYM3JQZZS,0007120818
5.0,A1DQZBHEU98PBT,0007117213
4.0,A1CHM200OEN65X,0007181604
4.0,A3V2W0GE6XQUPF,0002311909
5.0,A2XRMQA6PJ5ZJ8,0007119550
5.0,A22QFL2QV9336P,0006172768
5.0,A2CR57GAJKNWVV,0002005379
5.0,A2O5RT4RCC4NU2,0002241277
1.0,A2Q3D3CC9HT0S5,0006392237
5.0,A33L7G4E8CID3,000614182X
4.0,A1M4NJYP0WNL8Q,0006486029
5.0,A3R8PXSFGY9MC2,0007152523
5.0,A13G1TKIKHGV3F,000654861X
5.0,A1F38YS15PWMRQ,000613887X
5.0,A2TUA4VWCMNXI,0007127871
4.0,A29NUB3P6YIWZG,0006511252
5.0,A3QVAKVRAH657N,0006545866
5.0,A1IOJE0W1NXOSE,0006148697
